"X","Group","Corr"
203.651779355439,"Group 1","0.01"
204.33064946225,"Group 1","0.01"
205.211111726178,"Group 1","0.01"
203.505268822628,"Group 1","0.01"
204.164283093085,"Group 1","0.01"
204.297747256256,"Group 1","0.01"
204.658928832954,"Group 1","0.01"
204.064221220421,"Group 1","0.01"
205.460019409028,"Group 1","0.01"
204.127548791452,"Group 1","0.01"
204.476746081601,"Group 1","0.01"
204.8307531462,"Group 1","0.01"
203.968206433032,"Group 1","0.01"
203.562192588422,"Group 1","0.01"
205.333098839662,"Group 1","0.01"
202.764314547282,"Group 1","0.01"
204.766021610857,"Group 1","0.01"
204.237116584121,"Group 1","0.01"
204.850255102956,"Group 1","0.01"
204.485917476006,"Group 1","0.01"
205.526757294357,"Group 1","0.01"
203.461622032419,"Group 1","0.01"
205.212236856546,"Group 1","0.01"
205.441304172402,"Group 1","0.01"
204.217744515346,"Group 1","0.01"
202.676056401522,"Group 1","0.01"
204.514140133213,"Group 1","0.01"
203.840270576318,"Group 1","0.01"
204.711799727395,"Group 1","0.01"
204.396409772559,"Group 1","0.01"
204.67837302911,"Group 1","0.01"
204.414812106277,"Group 1","0.01"
204.890001940616,"Group 1","0.01"
204.03632015671,"Group 1","0.01"
203.727236542165,"Group 1","0.01"
203.840833916787,"Group 1","0.01"
203.131492358673,"Group 1","0.01"
203.648221140273,"Group 1","0.01"
203.863801671916,"Group 1","0.01"
204.059944695418,"Group 1","0.01"
203.973922943847,"Group 1","0.01"
202.985193772224,"Group 1","0.01"
203.686426542165,"Group 1","0.01"
205.409233309187,"Group 1","0.01"
204.605297175532,"Group 1","0.01"
205.464064964715,"Group 1","0.01"
204.022936839785,"Group 1","0.01"
204.157635692266,"Group 1","0.01"
204.099073672853,"Group 1","0.01"
203.46234877935,"Group 1","0.01"
203.688571482487,"Group 1","0.01"
205.511370907626,"Group 1","0.01"
203.861802810971,"Group 1","0.01"
205.015231981202,"Group 1","0.01"
203.557232585053,"Group 1","0.01"
202.980942021277,"Group 1","0.01"
204.011962491448,"Group 1","0.01"
204.801954325845,"Group 1","0.01"
204.929579203938,"Group 1","0.01"
205.263684464458,"Group 1","0.01"
203.092419038256,"Group 1","0.01"
205.489369433816,"Group 1","0.01"
203.773381514785,"Group 1","0.01"
204.313903424323,"Group 1","0.01"
204.5323377598,"Group 1","0.01"
203.700050810309,"Group 1","0.01"
202.960252197266,"Group 1","0.01"
203.913861594952,"Group 1","0.01"
204.267473592038,"Group 1","0.01"
203.652675468898,"Group 1","0.01"
203.636491326363,"Group 1","0.01"
204.422022190999,"Group 1","0.01"
204.125745315614,"Group 1","0.01"
204.487538213154,"Group 1","0.01"
204.180931676466,"Group 1","0.01"
203.64538087553,"Group 1","0.01"
205.032676051582,"Group 1","0.01"
204.698989063692,"Group 1","0.01"
204.875167234989,"Group 1","0.01"
203.329764117919,"Group 1","0.01"
204.839684442071,"Group 1","0.01"
203.150453963085,"Group 1","0.01"
203.879923508873,"Group 1","0.01"
203.353466308446,"Group 1","0.01"
202.82904677875,"Group 1","0.01"
205.358134384393,"Group 1","0.01"
203.804603132662,"Group 1","0.01"
204.035991630506,"Group 1","0.01"
203.971812228887,"Group 1","0.01"
204.457319518802,"Group 1","0.01"
205.218984775053,"Group 1","0.01"
205.269668981297,"Group 1","0.01"
203.471863431561,"Group 1","0.01"
203.362134271491,"Group 1","0.01"
203.265356241196,"Group 1","0.01"
203.428249044872,"Group 1","0.01"
205.444257108441,"Group 1","0.01"
204.219444003779,"Group 1","0.01"
203.6858553776,"Group 1","0.01"
203.837382591588,"Group 1","0.01"
204.888931986253,"Group 1","0.01"
204.37818617746,"Group 1","0.01"
204.017421694784,"Group 1","0.01"
203.744208975871,"Group 1","0.01"
203.673565815107,"Group 1","0.01"
205.499911027407,"Group 1","0.01"
204.80450067665,"Group 1","0.01"
205.475214597327,"Group 1","0.01"
203.95020917207,"Group 1","0.01"
203.994476620133,"Group 1","0.01"
203.569904265962,"Group 1","0.01"
204.057430344715,"Group 1","0.01"
204.510765225799,"Group 1","0.01"
205.067460110142,"Group 1","0.01"
204.568694616098,"Group 1","0.01"
204.500799987436,"Group 1","0.01"
204.987141299089,"Group 1","0.01"
204.934541337835,"Group 1","0.01"
204.281542285924,"Group 1","0.01"
203.723068685288,"Group 1","0.01"
204.993571367214,"Group 1","0.01"
204.301787562914,"Group 1","0.01"
205.288167294796,"Group 1","0.01"
203.944393334268,"Group 1","0.01"
203.559330542283,"Group 1","0.01"
204.552008412105,"Group 1","0.01"
203.794441342517,"Group 1","0.01"
204.615533711032,"Group 1","0.01"
203.132741165506,"Group 1","0.01"
203.12116883108,"Group 1","0.01"
204.647538295884,"Group 1","0.01"
204.42234455134,"Group 1","0.01"
204.761291782214,"Group 1","0.01"
202.949333564626,"Group 1","0.01"
204.975610186687,"Group 1","0.01"
204.968026514889,"Group 1","0.01"
204.862329100152,"Group 1","0.01"
204.708164271702,"Group 1","0.01"
205.538840500801,"Group 1","0.01"
203.302294933849,"Group 1","0.01"
203.848713950533,"Group 1","0.01"
204.47177157021,"Group 1","0.01"
203.708217525138,"Group 1","0.01"
204.268333683993,"Group 1","0.01"
204.682957071443,"Group 1","0.01"
203.804427635585,"Group 1","0.01"
204.62701826634,"Group 1","0.01"
204.559746027625,"Group 1","0.01"
203.708375843722,"Group 1","0.01"
203.588731576004,"Group 1","0.01"
204.827074310574,"Group 1","0.01"
204.108322801121,"Group 1","0.01"
204.667863415883,"Group 1","0.01"
203.684723632613,"Group 1","0.01"
205.016222377297,"Group 1","0.01"
203.37176522744,"Group 1","0.01"
204.694941871487,"Group 1","0.01"
204.505960074962,"Group 1","0.01"
204.382827251106,"Group 1","0.01"
204.633555358165,"Group 1","0.01"
204.464707332411,"Group 1","0.01"
203.814218823567,"Group 1","0.01"
204.046640242314,"Group 1","0.01"
204.440491278437,"Group 1","0.01"
203.390745394704,"Group 1","0.01"
203.659903061643,"Group 1","0.01"
205.518144422744,"Group 1","0.01"
202.897258722616,"Group 1","0.01"
203.43741073113,"Group 1","0.01"
204.836200550565,"Group 1","0.01"
204.89784485981,"Group 1","0.01"
204.741702255874,"Group 1","0.01"
204.250327897478,"Group 1","0.01"
204.41789821976,"Group 1","0.01"
203.646913190328,"Group 1","0.01"
203.80536220395,"Group 1","0.01"
204.049940112276,"Group 1","0.01"
203.628090089633,"Group 1","0.01"
204.729972532452,"Group 1","0.01"
203.195327997131,"Group 1","0.01"
203.568007111583,"Group 1","0.01"
203.422711209064,"Group 1","0.01"
204.460764596523,"Group 1","0.01"
203.504601986788,"Group 1","0.01"
204.556128308696,"Group 1","0.01"
204.95303679879,"Group 1","0.01"
204.230478176138,"Group 1","0.01"
204.537922009594,"Group 1","0.01"
203.804153581579,"Group 1","0.01"
204.530710621749,"Group 1","0.01"
203.416316443431,"Group 1","0.01"
204.166467375254,"Group 1","0.01"
203.370379059428,"Group 1","0.01"
204.047515902268,"Group 1","0.01"
204.89715525566,"Group 1","0.01"
204.654293099262,"Group 1","0.01"
203.936788240614,"Group 1","0.01"
203.719803304178,"Group 1","0.01"
203.676968826737,"Group 1","0.01"
203.746224117203,"Group 1","0.01"
204.401647947653,"Group 1","0.01"
203.574817046064,"Group 1","0.01"
206.016302070249,"Group 1","0.01"
204.351899114474,"Group 1","0.01"
203.608076312336,"Group 1","0.01"
204.45552671384,"Group 1","0.01"
204.138148846209,"Group 1","0.01"
203.994656635906,"Group 1","0.01"
204.590844307616,"Group 1","0.01"
204.359783801943,"Group 1","0.01"
204.858675373092,"Group 1","0.01"
203.885523397613,"Group 1","0.01"
205.341870402749,"Group 1","0.01"
203.314603516993,"Group 1","0.01"
204.301679466803,"Group 1","0.01"
204.49796570483,"Group 1","0.01"
204.976987690997,"Group 1","0.01"
203.383456282521,"Group 1","0.01"
203.499462586827,"Group 1","0.01"
205.266213401927,"Group 1","0.01"
204.46450583875,"Group 1","0.01"
204.663675940668,"Group 1","0.01"
203.716869361377,"Group 1","0.01"
205.42197537136,"Group 1","0.01"
204.258850988658,"Group 1","0.01"
204.509146482504,"Group 1","0.01"
204.158258318941,"Group 1","0.01"
204.775778295807,"Group 1","0.01"
203.980120932265,"Group 1","0.01"
205.631831119873,"Group 1","0.01"
205.201859284311,"Group 1","0.01"
202.988194408414,"Group 1","0.01"
203.825984666484,"Group 1","0.01"
204.195851817223,"Group 1","0.01"
203.134204263469,"Group 1","0.01"
203.55353992221,"Group 1","0.01"
203.856521635667,"Group 1","0.01"
204.51757732931,"Group 1","0.01"
204.27484363248,"Group 1","0.01"
203.845741869002,"Group 1","0.01"
204.163324008256,"Group 1","0.01"
206.027297417978,"Group 1","0.01"
204.950662379501,"Group 1","0.01"
204.559579087937,"Group 1","0.01"
204.703579488037,"Group 1","0.01"
203.859992808119,"Group 1","0.01"
204.279255616142,"Group 1","0.01"
204.391317011089,"Group 1","0.01"
203.916912419339,"Group 1","0.01"
203.927221303186,"Group 1","0.01"
204.529393490362,"Group 1","0.01"
203.960403356833,"Group 1","0.01"
204.103325922739,"Group 1","0.01"
204.014112836438,"Group 1","0.01"
204.743960298307,"Group 1","0.01"
204.518168649246,"Group 1","0.01"
204.024074965681,"Group 1","0.01"
204.035731270865,"Group 1","0.01"
204.829927216357,"Group 1","0.01"
204.107132769162,"Group 1","0.01"
205.057465185871,"Group 1","0.01"
204.152920091679,"Group 1","0.01"
204.012574746359,"Group 1","0.01"
203.013037714131,"Group 1","0.01"
203.808589395824,"Group 1","0.01"
203.336417176269,"Group 1","0.01"
205.426570745689,"Group 1","0.01"
204.504309421865,"Group 1","0.01"
204.545644479888,"Group 1","0.01"
204.191619848159,"Group 1","0.01"
202.50758099712,"Group 1","0.01"
204.185071749515,"Group 1","0.01"
204.21761818452,"Group 1","0.01"
203.445695898805,"Group 1","0.01"
204.372116042038,"Group 1","0.01"
205.222002757796,"Group 1","0.01"
204.192354967478,"Group 1","0.01"
204.860665922141,"Group 1","0.01"
203.963595406828,"Group 1","0.01"
204.256844827609,"Group 1","0.01"
205.492234449905,"Group 1","0.01"
204.622256868144,"Group 1","0.01"
205.017513795658,"Group 1","0.01"
203.820413889626,"Group 1","0.01"
205.062058212912,"Group 1","0.01"
205.264293954988,"Group 1","0.01"
204.950602262303,"Group 1","0.01"
204.218523415799,"Group 1","0.01"
205.033931160831,"Group 1","0.01"
204.15629108711,"Group 1","0.01"
203.506289143687,"Group 1","0.01"
204.583240032332,"Group 1","0.01"
204.270601329673,"Group 1","0.01"
204.06844694817,"Group 1","0.01"
205.148312283432,"Group 1","0.01"
203.992431508491,"Group 1","0.01"
204.477372180585,"Group 1","0.01"
202.898382110381,"Group 1","0.01"
203.354589180338,"Group 1","0.01"
203.785105235494,"Group 1","0.01"
204.015006935776,"Group 1","0.01"
204.016657156219,"Group 1","0.01"
204.769609829259,"Group 1","0.01"
203.031433461321,"Group 1","0.01"
204.67413118778,"Group 1","0.01"
204.71075885476,"Group 1","0.01"
204.336927545226,"Group 1","0.01"
204.792738920549,"Group 1","0.01"
204.993732260962,"Group 1","0.01"
203.787171192536,"Group 1","0.01"
204.53804582314,"Group 1","0.01"
203.920815889323,"Group 1","0.01"
203.899575393043,"Group 1","0.01"
202.975850241182,"Group 1","0.01"
203.857285116502,"Group 1","0.01"
204.512943536063,"Group 1","0.01"
204.978521170652,"Group 1","0.01"
204.288502868792,"Group 1","0.01"
204.270101060617,"Group 1","0.01"
204.088746801772,"Group 1","0.01"
203.901755384286,"Group 1","0.01"
204.898475980521,"Group 1","0.01"
204.793023070306,"Group 1","0.01"
204.443424482761,"Group 1","0.01"
204.399868526844,"Group 1","0.01"
204.547219445815,"Group 1","0.01"
204.822618120127,"Group 1","0.01"
205.412407669551,"Group 1","0.01"
205.157736687286,"Group 1","0.01"
204.018955470636,"Group 1","0.01"
204.809583027898,"Group 1","0.01"
204.159625977359,"Group 1","0.01"
204.09307116261,"Group 1","0.01"
204.672287045092,"Group 1","0.01"
204.860030059314,"Group 1","0.01"
204.021865839899,"Group 1","0.01"
204.69519347576,"Group 1","0.01"
204.20118417944,"Group 1","0.01"
205.151294445631,"Group 1","0.01"
204.495589984983,"Group 1","0.01"
204.324453981188,"Group 1","0.01"
204.457662319348,"Group 1","0.01"
203.405789009681,"Group 1","0.01"
204.359929869804,"Group 1","0.01"
204.666580104116,"Group 1","0.01"
204.056857512113,"Group 1","0.01"
204.014457168658,"Group 1","0.01"
204.831814126473,"Group 1","0.01"
204.734415486107,"Group 1","0.01"
204.454871345253,"Group 1","0.01"
205.128157537334,"Group 1","0.01"
204.632888779455,"Group 1","0.01"
203.982444545369,"Group 1","0.01"
205.186264114476,"Group 1","0.01"
205.676395382397,"Group 1","0.01"
205.092866662471,"Group 1","0.01"
203.623958884345,"Group 1","0.01"
204.737590864671,"Group 1","0.01"
204.675830154695,"Group 1","0.01"
204.291972391298,"Group 1","0.01"
205.190727523226,"Group 1","0.01"
205.10782358827,"Group 1","0.01"
203.989504636938,"Group 1","0.01"
203.902282743499,"Group 1","0.01"
203.031705363569,"Group 1","0.01"
203.499463523234,"Group 1","0.01"
203.928021559049,"Group 1","0.01"
204.950981318331,"Group 1","0.01"
204.013709482933,"Group 1","0.01"
204.240798181899,"Group 1","0.01"
204.103578460319,"Group 1","0.01"
205.648452456586,"Group 1","0.01"
203.710333124095,"Group 1","0.01"
204.986940629005,"Group 1","0.01"
204.193029780175,"Group 1","0.01"
203.798925325623,"Group 1","0.01"
204.058007037204,"Group 1","0.01"
205.804323231805,"Group 1","0.01"
204.313874891227,"Group 1","0.01"
204.686594405492,"Group 1","0.01"
203.946223901062,"Group 1","0.01"
203.751037924046,"Group 1","0.01"
204.304792904677,"Group 1","0.01"
203.765927658805,"Group 1","0.01"
205.040817641319,"Group 1","0.01"
203.226700819873,"Group 1","0.01"
204.243614553358,"Group 1","0.01"
204.196732853141,"Group 1","0.01"
205.101466869192,"Group 1","0.01"
204.73501295368,"Group 1","0.01"
204.329709939477,"Group 1","0.01"
205.055296258145,"Group 1","0.01"
204.969177727186,"Group 1","0.01"
204.761773647018,"Group 1","0.01"
204.141581116058,"Group 1","0.01"
204.429790723616,"Group 1","0.01"
203.596204782452,"Group 1","0.01"
204.92235077887,"Group 1","0.01"
204.358877465415,"Group 1","0.01"
204.791102599133,"Group 1","0.01"
204.080300796849,"Group 1","0.01"
202.506546694647,"Group 1","0.01"
203.578137069851,"Group 1","0.01"
203.694308669312,"Group 1","0.01"
204.752908345654,"Group 1","0.01"
204.064966694145,"Group 1","0.01"
203.773317808978,"Group 1","0.01"
202.675748867945,"Group 1","0.01"
204.935083011585,"Group 1","0.01"
204.215942948521,"Group 1","0.01"
204.252885170445,"Group 1","0.01"
203.521169519481,"Group 1","0.01"
204.340586889073,"Group 1","0.01"
203.442386191633,"Group 1","0.01"
204.135242415328,"Group 1","0.01"
203.390770475813,"Group 1","0.01"
204.909770413172,"Group 1","0.01"
203.582231432768,"Group 1","0.01"
205.203552474204,"Group 1","0.01"
204.397260936544,"Group 1","0.01"
204.678744107046,"Group 1","0.01"
203.426699233543,"Group 1","0.01"
205.100727812384,"Group 1","0.01"
204.674951857946,"Group 1","0.01"
205.019001060033,"Group 1","0.01"
204.778695720771,"Group 1","0.01"
204.547949886915,"Group 1","0.01"
204.707017421196,"Group 1","0.01"
203.470854813605,"Group 1","0.01"
204.431778979409,"Group 1","0.01"
203.4785972438,"Group 1","0.01"
204.003127518007,"Group 1","0.01"
203.571906195095,"Group 1","0.01"
205.046035816579,"Group 1","0.01"
204.238161386874,"Group 1","0.01"
204.16610866974,"Group 1","0.01"
203.938192298802,"Group 1","0.01"
204.3491019377,"Group 1","0.01"
204.20723371553,"Group 1","0.01"
203.930304211367,"Group 1","0.01"
202.895610302554,"Group 1","0.01"
204.037285604848,"Group 1","0.01"
203.228767376239,"Group 1","0.01"
204.400628158129,"Group 1","0.01"
204.369879460123,"Group 1","0.01"
204.128683807402,"Group 1","0.01"
203.766355098945,"Group 1","0.01"
204.883255421752,"Group 1","0.01"
