"X","Group","Corr"
188,"Group 1","0.01"
178,"Group 1","0.01"
178,"Group 1","0.01"
195,"Group 1","0.01"
210,"Group 1","0.01"
187,"Group 1","0.01"
186,"Group 1","0.01"
187,"Group 1","0.01"
212,"Group 1","0.01"
210,"Group 1","0.01"
185,"Group 1","0.01"
178,"Group 1","0.01"
187,"Group 1","0.01"
190,"Group 1","0.01"
214,"Group 1","0.01"
210,"Group 1","0.01"
210,"Group 1","0.01"
215,"Group 1","0.01"
185,"Group 1","0.01"
209,"Group 1","0.01"
195,"Group 1","0.01"
193,"Group 1","0.01"
188,"Group 1","0.01"
178,"Group 1","0.01"
214,"Group 1","0.01"
186,"Group 1","0.01"
195,"Group 1","0.01"
192,"Group 1","0.01"
185,"Group 1","0.01"
198,"Group 1","0.01"
195,"Group 1","0.01"
192,"Group 1","0.01"
209,"Group 1","0.01"
193,"Group 1","0.01"
217,"Group 1","0.01"
190,"Group 1","0.01"
217,"Group 1","0.01"
212,"Group 1","0.01"
191,"Group 1","0.01"
217,"Group 1","0.01"
189,"Group 1","0.01"
214,"Group 1","0.01"
210,"Group 1","0.01"
184,"Group 1","0.01"
187,"Group 1","0.01"
188,"Group 1","0.01"
187,"Group 1","0.01"
217,"Group 1","0.01"
210,"Group 1","0.01"
187,"Group 1","0.01"
186,"Group 1","0.01"
210,"Group 1","0.01"
210,"Group 1","0.01"
186,"Group 1","0.01"
210,"Group 1","0.01"
198,"Group 1","0.01"
187,"Group 1","0.01"
176,"Group 1","0.01"
210,"Group 1","0.01"
190,"Group 1","0.01"
187,"Group 1","0.01"
190,"Group 1","0.01"
210,"Group 1","0.01"
191,"Group 1","0.01"
190,"Group 1","0.01"
209,"Group 1","0.01"
212,"Group 1","0.01"
190,"Group 1","0.01"
208,"Group 1","0.01"
210,"Group 1","0.01"
209,"Group 1","0.01"
213,"Group 1","0.01"
181,"Group 1","0.01"
178,"Group 1","0.01"
212,"Group 1","0.01"
212,"Group 1","0.01"
195,"Group 1","0.01"
193,"Group 1","0.01"
210,"Group 1","0.01"
187,"Group 1","0.01"
192,"Group 1","0.01"
181,"Group 1","0.01"
192,"Group 1","0.01"
195,"Group 1","0.01"
198,"Group 1","0.01"
208,"Group 1","0.01"
208,"Group 1","0.01"
211,"Group 1","0.01"
194,"Group 1","0.01"
187,"Group 1","0.01"
195,"Group 1","0.01"
212,"Group 1","0.01"
178,"Group 1","0.01"
193,"Group 1","0.01"
219,"Group 1","0.01"
190,"Group 1","0.01"
218,"Group 1","0.01"
195,"Group 1","0.01"
213,"Group 1","0.01"
190,"Group 1","0.01"
188,"Group 1","0.01"
212,"Group 1","0.01"
213,"Group 1","0.01"
216,"Group 1","0.01"
181,"Group 1","0.01"
210,"Group 1","0.01"
190,"Group 1","0.01"
183,"Group 1","0.01"
210,"Group 1","0.01"
191,"Group 1","0.01"
193,"Group 1","0.01"
181,"Group 1","0.01"
187,"Group 1","0.01"
215,"Group 1","0.01"
193,"Group 1","0.01"
196,"Group 1","0.01"
193,"Group 1","0.01"
188,"Group 1","0.01"
191,"Group 1","0.01"
191,"Group 1","0.01"
172,"Group 1","0.01"
220,"Group 1","0.01"
181,"Group 1","0.01"
202,"Group 1","0.01"
178,"Group 1","0.01"
207,"Group 1","0.01"
216,"Group 1","0.01"
187,"Group 1","0.01"
190,"Group 1","0.01"
184,"Group 1","0.01"
191,"Group 1","0.01"
186,"Group 1","0.01"
193,"Group 1","0.01"
208,"Group 1","0.01"
187,"Group 1","0.01"
219,"Group 1","0.01"
187,"Group 1","0.01"
210,"Group 1","0.01"
191,"Group 1","0.01"
181,"Group 1","0.01"
178,"Group 1","0.01"
212,"Group 1","0.01"
184,"Group 1","0.01"
208,"Group 1","0.01"
209,"Group 1","0.01"
212,"Group 1","0.01"
196,"Group 1","0.01"
186,"Group 1","0.01"
208,"Group 1","0.01"
214,"Group 1","0.01"
218,"Group 1","0.01"
208,"Group 1","0.01"
212,"Group 1","0.01"
202,"Group 1","0.01"
193,"Group 1","0.01"
185,"Group 1","0.01"
215,"Group 1","0.01"
188,"Group 1","0.01"
178,"Group 1","0.01"
190,"Group 1","0.01"
212,"Group 1","0.01"
184,"Group 1","0.01"
195,"Group 1","0.01"
215,"Group 1","0.01"
190,"Group 1","0.01"
215,"Group 1","0.01"
213,"Group 1","0.01"
