"X","Group","Corr"
203.65158687121,"Group 1","0.01"
204.330456978037,"Group 1","0.01"
205.210919241988,"Group 1","0.01"
203.505076338395,"Group 1","0.01"
204.164090608868,"Group 1","0.01"
204.297554772042,"Group 1","0.01"
204.65873634875,"Group 1","0.01"
204.064028736202,"Group 1","0.01"
205.459826924844,"Group 1","0.01"
204.127356307234,"Group 1","0.01"
204.476553597392,"Group 1","0.01"
204.830560662,"Group 1","0.01"
203.968013948811,"Group 1","0.01"
203.56200010419,"Group 1","0.01"
205.332906355475,"Group 1","0.01"
202.76412206303,"Group 1","0.01"
204.765829126655,"Group 1","0.01"
204.236924099906,"Group 1","0.01"
204.850062618756,"Group 1","0.01"
204.485724991797,"Group 1","0.01"
205.526564810175,"Group 1","0.01"
203.461429548185,"Group 1","0.01"
205.212044372355,"Group 1","0.01"
205.441111688217,"Group 1","0.01"
204.21755203113,"Group 1","0.01"
202.675863917268,"Group 1","0.01"
204.513947649005,"Group 1","0.01"
203.840078092093,"Group 1","0.01"
204.711607243192,"Group 1","0.01"
204.396217288348,"Group 1","0.01"
204.678180544906,"Group 1","0.01"
204.414619622067,"Group 1","0.01"
204.889809456417,"Group 1","0.01"
204.03612767249,"Group 1","0.01"
203.727044057937,"Group 1","0.01"
203.840641432562,"Group 1","0.01"
203.13129987443,"Group 1","0.01"
203.648028656043,"Group 1","0.01"
203.863609187692,"Group 1","0.01"
204.059752211199,"Group 1","0.01"
203.973730459625,"Group 1","0.01"
202.985001287978,"Group 1","0.01"
203.686234057936,"Group 1","0.01"
205.409040825001,"Group 1","0.01"
204.605104691326,"Group 1","0.01"
205.463872480531,"Group 1","0.01"
204.022744355565,"Group 1","0.01"
204.157443208049,"Group 1","0.01"
204.098881188635,"Group 1","0.01"
203.462156295115,"Group 1","0.01"
203.688378998259,"Group 1","0.01"
205.511178423443,"Group 1","0.01"
203.861610326747,"Group 1","0.01"
205.015039497007,"Group 1","0.01"
203.557040100821,"Group 1","0.01"
202.98074953703,"Group 1","0.01"
204.011770007227,"Group 1","0.01"
204.801761841645,"Group 1","0.01"
204.929386719741,"Group 1","0.01"
205.263491980269,"Group 1","0.01"
203.092226554012,"Group 1","0.01"
205.489176949632,"Group 1","0.01"
203.773189030559,"Group 1","0.01"
204.31371094011,"Group 1","0.01"
204.532145275593,"Group 1","0.01"
203.69985832608,"Group 1","0.01"
202.960059713019,"Group 1","0.01"
203.913669110729,"Group 1","0.01"
204.267281107824,"Group 1","0.01"
203.652482984669,"Group 1","0.01"
203.636298842133,"Group 1","0.01"
204.421829706789,"Group 1","0.01"
204.125552831396,"Group 1","0.01"
204.487345728945,"Group 1","0.01"
204.18073919225,"Group 1","0.01"
203.645188391301,"Group 1","0.01"
205.032483567387,"Group 1","0.01"
204.698796579488,"Group 1","0.01"
204.87497475079,"Group 1","0.01"
203.329571633682,"Group 1","0.01"
204.839491957871,"Group 1","0.01"
203.150261478842,"Group 1","0.01"
203.879731024649,"Group 1","0.01"
203.353273824209,"Group 1","0.01"
202.828854294499,"Group 1","0.01"
205.357941900206,"Group 1","0.01"
203.804410648436,"Group 1","0.01"
204.035799146286,"Group 1","0.01"
203.971619744666,"Group 1","0.01"
204.457127034592,"Group 1","0.01"
205.218792290862,"Group 1","0.01"
205.269476497108,"Group 1","0.01"
203.471670947327,"Group 1","0.01"
203.361941787254,"Group 1","0.01"
203.265163756956,"Group 1","0.01"
203.428056560636,"Group 1","0.01"
205.444064624256,"Group 1","0.01"
204.219251519563,"Group 1","0.01"
203.685662893371,"Group 1","0.01"
203.837190107363,"Group 1","0.01"
204.888739502055,"Group 1","0.01"
204.377993693249,"Group 1","0.01"
204.017229210564,"Group 1","0.01"
203.744016491644,"Group 1","0.01"
203.673373330878,"Group 1","0.01"
205.499718543224,"Group 1","0.01"
204.80430819245,"Group 1","0.01"
